site_url,script_url
http://campograndenews.com.br,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://orbitz.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://futbolarena.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://extra.com.br,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://rueducommerce.fr,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://ilacrehberi.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://t-nation.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://presslogic.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://wetter.de,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://macworld.co.uk,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://timesnownews.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://denofgeek.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://travelocity.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://kolesa.kz,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://venezuelaaldia.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://ezgif.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://alfalfalfa.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://cheezburger.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://fontsquirrel.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://mwave.me,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://kseries.co,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://cumicumi.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://cont.ws,https://cdn.doubleverify.com/dvtp_src_internal116.js
http://namemc.com,https://cdn.doubleverify.com/dvtp_src_internal116.js
