site_url,score
http://techcrunch.com,8.0
http://videodownloadconverter.com,7.0
http://y8.com,7.0
http://techradar.com,8.0
http://merriam-webster.com,8.0
http://discover.com,10.0
http://chinaz.com,7.0
http://expedia.com,8.0
http://easypdfcombine.com,7.0
http://rapidgator.net,7.0
http://lapatilla.com,8.0
http://latimes.com,9.0
http://thesun.co.uk,8.0
http://almasryalyoum.com,8.0
http://drudgereport.com,8.0
http://mathrubhumi.com,8.0
http://olx.com.br,8.0
http://fidelity.com,9.0
http://mawdoo3.com,7.0
http://grid.id,8.0
http://lefigaro.fr,8.0
http://yaplakal.com,7.0
http://eksisozluk.com,7.0
http://tvbs.com.tw,7.0
http://yourporn.sexy,10.0
http://disqus.com,7.0
http://kizlarsoruyor.com,7.0
http://express.co.uk,8.0
http://ccm.net,7.0
http://ajel.sa,8.0
http://intel.com,8.0
http://corriere.it,7.0
http://lowes.com,9.0
http://nypost.com,9.0
http://autodesk.com,8.0
http://hotels.com,10.05
http://jeuxvideo.com,7.0
http://chron.com,9.0
http://ea.com,7.0
http://state.gov,7.0
http://bitfinex.com,8.0
http://jumia.com.ng,7.0
http://mirror.co.uk,8.0
http://wunderground.com,7.0
http://chaoshi.tmall.com,10.0
http://tomsguide.com,9.0
http://blibli.com,10.0
http://solarmoviez.ru,7.0
http://segmentfault.com,7.0
http://hawaaworld.com,8.0
http://mobile01.com,7.0
http://readms.net,7.0
http://infourok.ru,7.0
http://vnexpress.net,7.0
http://jimdo.com,8.0
http://el-nacional.com,8.0
http://tomshardware.com,8.0
http://kotaku.com,8.0
http://retailmenot.com,7.0
http://healthline.com,8.0
http://mobafire.com,9.0
http://ticketmaster.com,8.0
http://cnnindonesia.com,7.0
http://southwest.com,9.0
http://chouftv.ma,8.0
http://urbanoutfitters.com,9.0
http://usnews.com,8.0
http://chegg.com,9.0
http://okcupid.com,7.0
http://ly.com,7.0
http://okezone.com,7.0
http://elbalad.news,7.0
http://discuss.com.hk,7.0
http://rozetka.com.ua,10.0
http://xbox.com,7.0
http://commentcamarche.net,8.0
http://comicbook.com,7.0
http://hamariweb.com,8.0
http://nature.com,8.0
http://suara.com,9.0
http://cisco.com,8.0
http://shutterfly.com,7.0
http://ebay.in,7.0
http://flirt4free.com,7.0
http://theatlantic.com,8.0
http://familydoctor.com.cn,7.0
http://metropoles.com,8.0
http://sinoptik.ua,7.0
http://voyeurhit.com,7.0
http://sputniknews.com,7.0
http://nbcnews.com,8.0
http://ukr.net,9.0
http://wayfair.com,9.0
http://allocine.fr,7.0
http://cbsnews.com,7.0
http://adidas.com,9.0
http://politico.com,8.0
http://zone-telechargement.ws,9.0
http://piriform.com,8.0
http://protect-your-privacy.net,7.0
http://fidonav.com,7.0
http://gazetaexpress.com,11.0
http://farfetch.com,8.0
http://mobile.de,9.0
http://rvcj.com,7.0
http://17track.net,7.0
http://realtor.com,8.0
http://otto.de,7.0
http://nhl.com,7.0
http://kp.ru,9.0
http://pcgamer.com,8.0
http://agoda.com,9.0
http://olx.in,7.0
http://caixa.gov.br,7.0
http://custhelp.com,8.0
http://ozon.ru,8.0
http://huawei.com,8.0
http://boredpanda.com,9.0
http://58.com,7.0
http://1tv.ru,8.0
http://nikkei.com,7.0
http://study.com,11.9
http://hootsuite.com,7.0
http://bitbucket.org,7.0
http://mashable.com,8.0
http://kayak.com,9.0
http://coursehero.com,7.0
http://biblegateway.com,8.0
http://fnac.com,7.0
http://nasa.gov,7.0
http://zappos.com,8.0
http://zhaopin.com,7.0
http://justdial.com,9.0
http://howtogeek.com,8.0
http://ivi.ru,9.0
http://wired.com,7.0
http://vesti.ru,7.0
http://mileroticos.com,7.0
http://yalla-shoot.com,8.0
http://thoughtco.com,10.0
http://abcnews.go.com,9.0
http://uniqlo.tmall.com,8.0
http://ted.com,8.0
http://lifebuzz.com,7.0
http://asahi.com,7.0
http://bodybuilding.com,8.0
http://yandex.com.tr,7.0
http://usaa.com,8.0
http://newsweek.com,7.0
http://focus.de,8.0
http://livestrong.com,8.0
http://xiami.com,9.0
http://pcmag.com,8.0
http://zougla.gr,7.0
http://fishki.net,8.0
http://knowyourmeme.com,8.0
http://thehindu.com,7.0
http://socialblade.com,7.0
http://mediaset.it,7.0
http://brazzers.com,7.0
http://ubi.com,8.0
http://abc.net.au,8.0
http://istockphoto.com,7.0
http://onoticioso.com,8.0
http://people.com,9.0
http://otvfoco.com.br,9.0
http://andhrajyothy.com,8.0
http://worldstarhiphop.com,7.0
http://douban.com,7.0
http://polygon.com,8.0
http://redbubble.com,7.0
http://imagetwist.com,7.0
http://wuxiaworld.com,9.0
http://nydailynews.com,7.0
http://sindonews.com,7.0
http://welt.de,8.0
http://wildberries.ru,7.0
http://idnes.cz,9.0
http://digitaltrends.com,8.0
http://fandango.com,8.0
http://dhgate.com,7.0
http://usbank.com,9.0
http://gazeta.ru,7.0
http://mynet.com,9.0
http://bedbathandbeyond.com,10.0
http://nvidia.com,7.0
http://besoccer.com,7.0
http://worldoftanks.ru,7.0
http://argaam.com,8.0
http://arstechnica.com,7.0
http://slate.com,8.0
http://coolmath-games.com,8.0
http://op.gg,8.0
http://deezer.com,7.0
http://foodnetwork.com,7.0
http://adme.ru,8.0
http://ubisoft.com,8.0
http://visualstudio.com,7.0
http://viva.co.id,7.0
http://elmogaz.com,7.0
http://aa.com,7.0
http://united.com,9.0
http://ebay.ca,8.0
http://championat.com,7.0
http://rolloid.net,8.0
http://zomato.com,7.0
http://pochta.ru,7.0
http://dawn.com,7.0
http://avito.ma,7.0
http://freearabsexx.com,7.0
http://unsplash.com,8.0
http://gmanetwork.com,7.0
http://gazeta.pl,9.0
http://t-mobile.com,10.0
http://fotostrana.ru,7.0
http://victoriassecret.com,9.0
http://hdrezka.ag,7.0
http://ashemaletube.com,7.0
http://nalog.ru,7.0
http://oneindia.com,7.0
http://privatbank.ua,7.0
http://primewire.ag,9.0
http://gumtree.com.au,7.0
http://redfin.com,7.0
http://lostfilm.tv,7.0
http://wiocha.pl,8.0
http://wykop.pl,8.0
http://tilestwra.com,8.0
http://colourpop.com,7.0
http://walgreens.com,8.0
http://dmv.org,8.0
http://barnesandnoble.com,9.0
http://yallakora.com,7.0
http://att.net,7.0
http://crhoy.com,7.0
http://uzone.id,7.0
http://nationalgeographic.com,8.0
http://internetspeedtracker.com,7.0
http://login.tmall.com,7.0
http://trulia.com,9.0
